LogicalName,Label,Value
cr51a_boilerefficiency,A,106870000
cr51a_boilerefficiency,B,106870001
cr51a_boilerefficiency,C,106870002
cr51a_boilerefficiency,D,106870003
cr51a_boilerefficiency,E,106870004
cr51a_boilerefficiency,F,106870005
cr51a_boilerefficiency,G,106870006
cr51a_childbenefitclaimantsingleorcouple,Single,106870000
cr51a_childbenefitclaimantsingleorcouple,Couple,106870001
cr51a_counciltaxbracket,A,106870000
cr51a_counciltaxbracket,B,106870001
cr51a_counciltaxbracket,C,106870002
cr51a_counciltaxbracket,D,106870003
cr51a_counciltaxbracket,E,106870004
cr51a_counciltaxbracket,F,106870005
cr51a_counciltaxbracket,G,106870006
cr51a_heatingcontrolsadequacy,Top-spec,106870000
cr51a_heatingcontrolsadequacy,Optimal,106870001
cr51a_heatingcontrolsadequacy,Suboptimal,106870002
cr51a_lodgedepcband,A,106870000
cr51a_lodgedepcband,B,106870001
cr51a_lodgedepcband,C,106870002
cr51a_lodgedepcband,D,106870003
cr51a_lodgedepcband,E,106870004
cr51a_lodgedepcband,F,106870005
cr51a_lodgedepcband,G,106870006
cr51a_propertyattachment,Detached,106870000
cr51a_propertyattachment,Semi detached,106870005
cr51a_propertyattachment,End terrace,106870003
cr51a_propertyattachment,Mid terrace,106870004
cr51a_propertyattachment,Enclosed end terrace,106870001
cr51a_propertyattachment,Enclosed mid terrace,106870002
cr51a_respondent_relationship_to_property,Owner-Occupier,106870000
cr51a_respondent_relationship_to_property,Tenant,106870001
cr51a_respondent_relationship_to_property,Landlord,106870002
cr51a_respondent_relationship_to_property,Other,106870003
cr51a_sapband,A,106870000
cr51a_sapband,B,106870001
cr51a_sapband,C,106870002
cr51a_sapband,D,106870003
cr51a_sapband,E,106870004
cr51a_sapband,F,106870005
cr51a_sapband,G,106870006
cr51a_tenure,Social Rented,798360000
cr51a_tenure,Private Rented,798360001
cr51a_tenure,Owner Occupied,798360002
cr51a_tenure,Not Yet Specified,798360003
pcc_bedrooms,1,798360001
pcc_bedrooms,2,798360002
pcc_bedrooms,3,798360003
pcc_bedrooms,4,798360004
pcc_bedrooms,5,798360005
pcc_bedrooms,6,798360006
pcc_bedrooms,7 Plus,798360007
pcc_bedrooms,Unknown,798360000
pcc_boilertype,Condensing,798360001
pcc_boilertype,No Boiler,798360003
pcc_boilertype,Standard,798360002
pcc_boilertype,Not Applicable,798360004
pcc_boilertype,Unknown,798360000
pcc_condensation,No,798360002
pcc_condensation,Yes,798360001
pcc_condensation,Unknown,798360000
pcc_epctype,Actual,798360001
