LogicalName,SchemaName,AttributeType,AttributeOf,AttributeTypeName,CanBeSecuredForCreate,CanBeSecuredForRead,CanBeSecuredForUpdate,CanModifyAdditionalSettings,ColumnNumber,DeprecatedVersion,Description,DisplayName,EntityLogicalName,ExtensionData,HasChanged,InheritsFrom,IntroducedVersion,IsAuditEnabled,IsCustomAttribute,IsCustomizable,IsDataSourceSecret,IsFilterable,IsGlobalFilterEnabled,IsLogical,IsManaged,IsPrimaryId,IsPrimaryName,IsRenameable,IsRequiredForForm,IsRetrievable,IsSearchable,IsSecured,IsSortableEnabled,IsValidForAdvancedFind,IsValidForCreate,IsValidForForm,IsValidForGrid,IsValidForRead,IsValidForUpdate,IsValidODataAttribute,LinkedAttributeId,MetadataId,RequiredLevel,SourceType
createdby,CreatedBy,Lookup,,LookupType,False,False,False,True,3,,Unique identifier of the user who created the record.,Created By,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False,False,,{412bef84-72fb-4511-a872-6ba5d2fb362a},None,Standard
createdbyname,CreatedByName,String,createdby,StringType,False,False,False,True,8,,N/A,N/A,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{f4516670-2441-4f92-ae51-f622a8d8a31c},None,Standard
createdbyyominame,CreatedByYomiName,String,createdby,StringType,False,False,False,True,9,,N/A,N/A,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{dad2d5f0-672c-4ca9-87e1-c5f240416b28},SystemRequired,Standard
createdon,CreatedOn,DateTime,,DateTimeType,False,False,False,True,2,,Date and time when the record was created.,Created On,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,True,False,False,,{8b2365bb-997b-468a-983c-35bd2cf37d36},None,Standard
createdonbehalfby,CreatedOnBehalfBy,Lookup,,LookupType,False,False,False,True,6,,Unique identifier of the delegate user who created the record.,Created By (Delegate),pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False,False,,{9d4609ec-2639-4fae-8c99-0dd09c5a31fd},None,Standard
createdonbehalfbyname,CreatedOnBehalfByName,String,createdonbehalfby,StringType,False,False,False,True,10,,N/A,N/A,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{09aec150-a9cb-48b3-9469-b1e7b3ad7d11},None,Standard
createdonbehalfbyyominame,CreatedOnBehalfByYomiName,String,createdonbehalfby,StringType,False,False,False,True,11,,N/A,N/A,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{b9192a1d-bde0-469e-8d71-308473b105a5},SystemRequired,Standard
importsequencenumber,ImportSequenceNumber,Integer,,IntegerType,False,False,False,True,30,,Unique identifier of the user who modified the record.,Import Sequence Number,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,,{6cba3dc7-938b-4fb8-81ba-ef34501c55e7},None,Standard
modifiedby,ModifiedBy,Lookup,,LookupType,False,False,False,True,5,,,Modified By,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False,False,,{533e5fea-e9e4-48b4-af20-5c440902a510},None,Standard
modifiedbyname,ModifiedByName,String,modifiedby,StringType,False,False,False,True,12,,N/A,N/A,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{5848ff71-3933-4a42-9876-ec13e3fdc74a},None,Standard
modifiedbyyominame,ModifiedByYomiName,String,modifiedby,StringType,False,False,False,True,13,,N/A,N/A,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{1c6ab195-c1d0-44bb-b860-a15a364736b6},SystemRequired,Standard
modifiedon,ModifiedOn,DateTime,,DateTimeType,False,False,False,True,4,,Date and time when the record was modified.,Modified On,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,True,False,False,,{e5ba32db-8453-40d3-af6f-0a7785849ad7},None,Standard
modifiedonbehalfby,ModifiedOnBehalfBy,Lookup,,LookupType,False,False,False,True,7,,Unique identifier of the delegate user who modified the record.,Modified By (Delegate),pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False,False,,{5a150310-0bf1-45d8-971a-ce52240dd959},None,Standard
modifiedonbehalfbyname,ModifiedOnBehalfByName,String,modifiedonbehalfby,StringType,False,False,False,True,14,,N/A,N/A,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{1bd3415a-c01b-43f0-943e-71a757cb520b},None,Standard
modifiedonbehalfbyyominame,ModifiedOnBehalfByYomiName,String,modifiedonbehalfby,StringType,False,False,False,True,15,,N/A,N/A,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{03f67d7c-36c9-4cf3-bc82-5e196a50b35f},SystemRequired,Standard
overriddencreatedon,OverriddenCreatedOn,DateTime,,DateTimeType,False,False,False,True,31,,Date and time that the record was migrated.,Record Created On,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,False,False,,{1d10172e-92eb-4b22-82d2-a90f3ba54ac4},None,Standard
ownerid,OwnerId,Owner,,OwnerType,False,False,False,True,16,,Owner Id,Owner,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True,True,True,True,True,True,False,,{0d9e90dd-9018-4d3f-97f2-871121fb7686},SystemRequired,Standard
owneridname,OwnerIdName,String,ownerid,StringType,False,False,False,True,18,,Name of the owner,N/A,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{d64c86ea-85bc-4990-8876-250aea01836a},SystemRequired,Standard
owneridtype,OwnerIdType,EntityName,ownerid,EntityNameType,False,False,False,True,17,,Owner Id Type,N/A,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,,{4a2fd710-fee7-489c-9953-62f5d43520bb},SystemRequired,Standard
owneridyominame,OwnerIdYomiName,String,ownerid,StringType,False,False,False,True,19,,Yomi name of the owner,N/A,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,,{1af376ae-baf7-ec11-bb3d-002248817889},SystemRequired,Standard
owningbusinessunit,OwningBusinessUnit,Lookup,,LookupType,False,False,False,True,21,,Unique identifier for the business unit that owns the record,Owning Business Unit,pcc_retrofitintermediate,System.Runtime.Serialization.ExtensionDataObject,False,,1.0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False,False,,{1786d4d3-0c5f-4937-a63a-ed44b680ab14},None,Standard
